(横波, Transverse wave)
(波函数, Wave function)
(脉冲横波, Pulse transverse wave)
(振幅, Amplitude)
(概念, Concept)
(振动传播项, Vibration propagation term)
(机械波, Mechanical wave)
(数学方法, Mathematical method)
(拐点, Inflection point)
(水波, Water wave)
(频率, Frequency)
(船, Boat)
(热传导, Heat conduction)
(解, Solution)
(波线, Wave line)
(振动方程, Vibration equation)
(偏微分方程, Partial differential equation)
(调频波, Frequency modulation wave)
(波速, Wave speed)
(真空中无线电波的速率, Speed of radio waves in vacuum)
(脉冲波, Pulse wave)
(波峰间距, Distance between wave peaks)
(二阶偏导数, Second-order partial derivative)
(标定, Marking)
(一维波的波动微分方程, One-dimensional wave equation)
(思考题, Thinking question)
(简谐波, Harmonic wave)
(一维运动, One-dimensional motion)
(波沿x轴正向传播, Wave propagates along the positive x-axis)
(波形图, Waveform)
(维波, Longitudinal wave)
(电磁波, Electromagnetic wave)
(补充条件, Supplementary conditions)
(速度, Velocity)
(波形曲线, Waveform curve)
(波动方程, Wave equation)
(相位, Phase)
(声波, Sound wave)
(声速, Speed of sound)
(化学中的扩散过程, Diffusion process in chemistry)
(调幅波, Amplitude modulation wave)
(加速度, Acceleration)
(绳, Rope)
(波长, Wavelength)
(一维简谐波波函数, One-dimensional harmonic wave function)
(波源初始时刻的位移, Initial displacement of the wave source)
(波沿x轴负向传播, Wave propagates along the negative x-axis)
